gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2963937110	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63722468	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.213679	-83.789089	14110.0						2015-03-30T15:30:00	30	3	2015	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	63722468		Simon Bradfield	2020-10-28T20:48:47	CC_BY_NC_4_0	Simon Bradfield	Simon Bradfield			2020-11-08T17:18:19.636Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2860144201	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58254119	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.425841	-84.158521	1953.0						2016-08-23T15:28:00	23	8	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	58254119		danzidro	2020-09-01T16:26:19	CC_BY_NC_4_0	danzidro	danzidro			2020-11-08T16:54:53.165Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2856718214	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57557198	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.389005	-84.146	471.0						2017-01-04T15:28:00	4	1	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	57557198		Josh Cantor	2020-08-25T16:44:57	CC_BY_NC_4_0	Josh Cantor	Josh Cantor			2020-11-08T17:09:12.338Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2856539249	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57557387	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.402996	-84.162681	311.0						2017-01-06T16:07:00	6	1	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	57557387		Josh Cantor	2020-08-25T16:46:06	CC_BY_NC_4_0	Josh Cantor	Josh Cantor			2020-11-08T16:54:46.103Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2850843859	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56481267	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.636887	-82.689166	89.0						2013-07-18T08:34:00	18	7	2013	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	56481267		Ryan Shofner	2020-08-15T04:01:47	CC_BY_NC_4_0	Ryan Shofner	Ryan Shofner			2020-11-08T16:54:51.100Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2850754821	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55827641	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.572602	-83.520056	22.0						2017-12-05T10:45:13	5	12	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	55827641		emheinz	2020-08-08T19:15:13	CC_BY_NC_4_0	emheinz	emheinz			2020-11-08T16:54:32.534Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2843337110	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/145252117	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR	Costa Rica - Talamanca		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.650494	-82.738545	25.0						2017-10-21T00:00:00	21	10	2017	2436353	2436353	HUMAN_OBSERVATION		Observations	OBS.145252117				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:02.887Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843151486	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/115827625	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR	Costa Rica - Manuel Antonio N.P.		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.383947	-84.140739	10.0						2016-03-13T00:00:00	13	3	2016	2436353	2436353	HUMAN_OBSERVATION		Observations	OBS.115827625				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:11.751Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842679444	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/115578116	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR	Costa Rica - Pococí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.203371	-83.778269	10.0						2016-02-28T00:00:00	28	2	2016	2436353	2436353	HUMAN_OBSERVATION		Observations	OBS.115578116				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:11.538Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842519748	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/142864854	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR	Costa Rica - Manuel Antonio N.P.		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.384032	-84.144108	10.0						2017-08-07T00:00:00	7	8	2017	2436353	2436353	HUMAN_OBSERVATION		Observations	OBS.142864854				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.206Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
