gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2901796307	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/4743434	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.983611	-84.731941	2064.0						2016-12-09T13:47:47	9	12	2016	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	4743434		Rob Van Epps	2016-12-09T19:49:24	CC0_1_0	Martin Kalfatovic	Martin Kalfatovic			2020-11-08T17:06:41.110Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2868131923	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/60273777	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.904547	-83.870368	122.0						2016-01-29T15:20:00	29	1	2016	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	60273777		Diego Ramírez	2020-09-21T01:26:38	CC_BY_NC_4_0	Diego Ramírez	Diego Ramírez			2020-11-08T16:55:37.229Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2864831570	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/59808539	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.513562	-84.685347							2017-06-21T17:25:13	21	6	2017	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	59808539		gchays	2020-09-16T19:40:16	CC_BY_NC_4_0	gchays	gchays			2020-11-08T16:54:55.797Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2860267337	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58330520	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.45	-83.50708	3906.0						2017-08-06T00:00:00	6	8	2017	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	58330520		Carlos Venegas-Elizondo	2020-09-02T14:06:25	CC_BY_NC_4_0	Kate Rothra Fleming	Kate Rothra Fleming			2020-11-08T16:54:37.095Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2860081246	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58287074	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.592	-83.097							2016-01-28T00:00:00	28	1	2016	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	58287074		Carlos Venegas-Elizondo	2020-09-03T18:40:37	CC_BY_NC_4_0	Kate Rothra Fleming	Kate Rothra Fleming			2020-11-08T16:54:56.835Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2856515232	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57557207	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.389005	-84.146	471.0						2017-01-04T16:34:00	4	1	2017	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	57557207		Josh Cantor	2020-08-25T16:45:00	CC_BY_NC_4_0	Josh Cantor	Josh Cantor			2020-11-08T17:09:35.485Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851197789	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56476127	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.391137	-84.145381	80.0						2013-07-17T08:40:00	17	7	2013	5219520	5219520	HUMAN_OBSERVATION	iNaturalist	Observations	56476127		Ryan Shofner	2020-08-15T02:33:10	CC_BY_NC_4_0	Ryan Shofner	Ryan Shofner			2020-11-08T17:09:25.745Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2845037473	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169157456	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Tortuguero		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.535068	-83.506465	10.0						2017-08-07T00:00:00	7	8	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.169157456				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:17.913Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844617290	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/145311624	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.431277	-84.00442	25.0						2017-10-23T00:00:00	23	10	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.145311624				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:15.508Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844365970	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/126715519	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.416062	-84.121277	10.0						2016-11-18T00:00:00	18	11	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.126715519				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.808Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
